Evento,Fecha,Jg,Eqp,Jc,Re,C,H,E,Vs,Jc,Re,C,H,E,Estadio,Hora,Duc.,inn
59SN SF,2019-11-20,423,LTU,VS,G,6,10,2,CMG,HC,P,3,6,0,Cándido González,13:00,3:08,7
59SN SF,2019-11-21,424,IND,HC,G,5,12,0,MTZ,VS,P,4,8,0,Latinoamericano,10:00,2:53,8
59SN SF,2019-11-21,421,IND,HC,G,2,9,0,MTZ,VS,P,1,3,1,Latinoamericano,13:00,1:54,7
59SN SF,2019-11-21,425,CFG,HC,G,9,13,0,SCU,VS,P,6,11,3,5 de Septiembre,13:00,4:20,9
59SN SF,2019-11-21,426,CMG,HC,G,8,9,0,LTU,VS,P,2,5,3,Cándido González,13:00,3:03,9
59SN SF,2019-11-22,427,MTZ,VS,G,13,15,0,IND,HC,P,6,9,3,Latinoamericano,13:00,4:06,9
59SN SF,2019-11-22,428,SCU,VS,G,11,13,1,CFG,HC,P,2,5,4,5 de Septiembre,13:00,3:35,9
59SN SF,2019-11-22,429,LTU,VS,G,4,11,0,CMG,HC,P,0,3,2,Cándido González,13:00,2:47,9
59SN SF,2019-11-24,430,IND,HC,G,9,16,1,CMG,VS,P,6,12,0,Latinoamericano,13:00,3:55,9
59SN SF,2019-11-24,431,MTZ,HC,G,3,7,1,CFG,VS,P,2,8,4,Victoria de Girón MTZ,13:00,3:00,9
59SN SF,2019-11-24,432,SCU,HC,G,10,13,1,LTU,VS,P,8,14,1,Guillermón Moncada,13:00,3:15,9
59SN SF,2019-11-25,433,IND,HC,G,7,11,1,CMG,VS,P,2,3,0,Latinoamericano,13:00,3:11,9
59SN SF,2019-11-25,434,MTZ,HC,G,10,14,0,CFG,VS,P,5,13,2,Victoria de Girón MTZ,13:00,4:40,9
59SN SF,2019-11-25,435,LTU,VS,G,8,13,0,SCU,HC,P,7,11,3,Guillermón Moncada,13:00,3:15,9
59SN SF,2019-11-26,436,IND,HC,G,10,10,0,CMG,VS,P,3,11,4,Latinoamericano,13:00,3:34,9
59SN SF,2019-11-26,437,CFG,VS,G,5,14,1,MTZ,HC,P,2,8,2,Victoria de Girón MTZ,13:00,2:57,9
59SN SF,2019-11-28,439,CMG,VS,G,3,11,3,MTZ,HC,P,1,4,2,Victoria de Girón MTZ,13:00,3:00,9
59SN SF,2019-11-28,440,LTU,VS,G,7,17,3,CFG,HC,P,3,8,2,5 de Septiembre,13:00,3:25,9
59SN SF,2019-11-28,441,IND,VS,G,11,10,0,SCU,HC,P,1,6,2,Guillermón Moncada,13:00,3:00,7
59SN SF,2019-11-29,442,MTZ,HC,G,9,15,0,CMG,VS,P,0,6,1,Victoria de Girón MTZ,13:00,3:30,9
59SN SF,2019-11-29,443,CFG,HC,G,5,6,2,LTU,VS,P,4,7,0,5 de Septiembre,13:00,3:45,10
59SN SF,2019-11-30,444,SCU,HC,G,8,9,0,IND,VS,P,5,9,3,Guillermón Moncada,10:00,3:15,9
59SN SF,2019-11-30,447,IND,VS,G,6,12,1,SCU,HC,P,5,6,1,Guillermón Moncada,12:00,3:00,7
59SN SF,2019-11-30,445,MTZ,HC,G,2,9,2,CMG,VS,P,1,11,0,Victoria de Girón MTZ,13:00,2:55,9
59SN SF,2019-11-30,446,LTU,VS,G,6,11,0,CFG,HC,P,3,7,1,5 de Septiembre,13:00,2:10,9
59SN SF,2019-12-02,448,CFG,HC,G,13,11,2,IND,VS,P,3,9,3,5 de Septiembre,13:00,3:10,7
59SN SF,2019-12-02,449,CMG,HC,G,5,7,0,SCU,VS,P,4,10,2,Cándido González,13:00,3:30,9
59SN SF,2019-12-02,450,LTU,HC,G,15,19,0,MTZ,VS,P,2,5,0,Julio Antonio Mella,13:00,2:35,7
59SN SF,2019-12-03,451,IND,VS,G,3,9,1,CFG,HC,P,0,8,1,5 de Septiembre,13:00,3:45,9
59SN SF,2019-12-03,452,CMG,HC,G,9,10,1,SCU,VS,P,5,7,3,Cándido González,13:00,3:25,9
59SN SF,2019-12-03,453,MTZ,VS,G,6,9,0,LTU,HC,P,2,6,3,Julio Antonio Mella,13:00,3:00,9
59SN SF,2019-12-04,454,CFG,HC,G,7,10,1,IND,VS,P,6,12,2,5 de Septiembre,13:00,3:50,9
59SN SF,2019-12-04,455,CMG,HC,G,9,14,0,SCU,VS,P,2,8,1,Cándido González,13:00,3:30,9
59SN SF,2019-12-04,456,MTZ,VS,G,9,18,0,LTU,HC,P,1,9,2,Julio Antonio Mella,13:00,3:12,9
59SN SF,2019-12-06,457,LTU,VS,G,3,7,0,IND,HC,P,1,9,4,Latinoamericano,13:00,3:34,9
59SN SF,2019-12-06,458,SCU,VS,G,6,8,3,MTZ,HC,P,5,11,3,Victoria de Girón MTZ,13:00,3:15,9
59SN SF,2019-12-06,459,CMG,VS,G,10,15,1,CFG,HC,P,0,6,2,5 de Septiembre,13:00,3:50,9
59SN SF,2019-12-07,460,LTU,VS,G,4,10,0,IND,HC,P,3,9,1,Latinoamericano,13:00,3:27,9
59SN SF,2019-12-07,461,MTZ,HC,G,9,15,1,SCU,VS,P,2,10,4,Victoria de Girón MTZ,13:00,3:09,9
59SN SF,2019-12-07,462,CMG,VS,G,10,11,0,CFG,HC,P,7,12,2,5 de Septiembre,13:00,3:25,9
59SN SF,2019-12-08,463,IND,HC,G,9,9,1,LTU,VS,P,4,6,2,Latinoamericano,13:00,2:57,9
59SN SF,2019-12-08,464,SCU,VS,G,11,18,0,MTZ,HC,P,4,10,1,Victoria de Girón MTZ,13:00,3:20,9
59SN SF,2019-12-08,465,CMG,VS,G,8,12,2,CFG,HC,P,5,10,2,5 de Septiembre,13:00,3:25,9
59SN SF,2019-12-10,466,IND,VS,G,6,12,0,MTZ,HC,P,1,4,1,Victoria de Girón MTZ,13:00,2:50,9
59SN SF,2019-12-10,467,CMG,VS,G,3,6,0,LTU,HC,P,0,7,2,Julio Antonio Mella,13:00,2:39,9
59SN SF,2019-12-10,468,CFG,VS,G,3,9,0,SCU,HC,P,2,5,2,Guillermón Moncada,13:00,3:15,9
59SN SF,2019-12-11,469,MTZ,HC,G,6,7,1,IND,VS,P,5,9,4,Victoria de Girón MTZ,13:00,3:30,9
59SN SF,2019-12-11,470,CMG,VS,G,12,15,1,LTU,HC,P,1,12,0,Julio Antonio Mella,13:00,3:00,9
59SN SF,2019-12-12,471,CFG,VS,G,7,16,0,SCU,HC,P,6,9,0,Guillermón Moncada,10:00,3:00,9
59SN SF,2019-12-12,474,CFG,VS,G,2,8,0,SCU,HC,P,1,5,1,Guillermón Moncada,11:30,2:55,7
59SN SF,2019-12-12,473,LTU,HC,G,1,4,1,CMG,VS,P,0,5,0,Julio Antonio Mella,13:00,2:55,9
59SN SF,2019-12-13,472,IND,VS,G,11,11,1,MTZ,HC,P,9,11,2,Victoria de Girón MTZ,10:00,3:30,9
59SN SF,2019-12-14,438,LTU,HC,G,16,19,0,SCU,VS,P,11,14,3,Julio Antonio Mella,10:00,3:25,9
59SN SF,2019-12-14,477,LTU,HC,G,5,6,0,SCU,VS,P,0,6,1,Julio Antonio Mella,11:30,1:45,7
59SN SF,2019-12-14,475,MTZ,VS,G,11,14,1,CFG,HC,P,2,8,1,5 de Septiembre,13:00,3:55,9
59SN SF,2019-12-14,476,IND,VS,G,4,7,0,CMG,HC,P,3,7,0,Cándido González,13:00,2:40,9
59SN SF,2019-12-15,478,MTZ,VS,G,5,8,0,CFG,HC,P,2,9,0,5 de Septiembre,13:00,2:45,9
59SN SF,2019-12-15,480,LTU,HC,G,8,10,1,SCU,VS,P,3,11,0,Julio Antonio Mella,13:00,3:10,9
59SN SF,2019-12-16,479,IND,VS,G,9,14,2,CMG,HC,P,7,10,4,Cándido González,10:00,5:45,14
59SN SF,2019-12-16,482,IND,VS,G,7,7,1,CMG,HC,P,0,2,1,Cándido González,12:00,2:10,7
59SN SF,2019-12-16,481,CFG,HC,G,7,13,1,MTZ,VS,P,6,11,2,5 de Septiembre,13:00,3:20,9
59SN SF,2019-12-16,483,SCU,VS,G,11,16,1,LTU,HC,P,10,17,0,Julio Antonio Mella,13:00,4:05,9
59SN SF,2019-12-18,401,CMG,HC,G,2,5,1,MTZ,VS,P,0,2,1,Candido González,10:00,2:05,7
59SN SF,2019-12-18,484,IND,HC,G,5,8,1,SCU,VS,P,1,6,2,Latinoamericano,12:00,2:37,7
59SN SF,2019-12-18,485,CMG,HC,G,4,10,2,MTZ,VS,P,3,2,0,Cándido González,12:00,3:00,8
59SN SF,2019-12-18,486,LTU,HC,G,9,12,0,CFG,VS,P,7,11,2,Julio Antonio Mella,13:00,3:20,9
59SN SF,2019-12-19,488,MTZ,VS,G,4,9,0,CMG,HC,P,0,4,1,Cándido González,13:00,2:35,9
59SN SF,2019-12-20,489,LTU,HC,G,5,9,3,CFG,VS,P,4,4,0,Julio Antonio Mella,10:00,3:05,10
59SN SF,2019-12-20,487,IND,HC,G,7,9,1,SCU,VS,P,2,8,0,Latinoamericano,11:30,2:27,7
59SN SF,2019-12-20,492,LTU,HC,G,6,9,1,CFG,VS,P,3,8,1,Julio Antonio Mella,11:55,3:00,7
59SN SF,2019-12-20,491,MTZ,VS,G,3,10,0,CMG,HC,P,1,5,1,Cándido González,12:00,3:00,9
59SN SF,2019-12-20,400,IND,HC,G,3,5,0,SCU,VS,P,1,5,0,Latinoamericano,14:30,2:16,8
59SN SF,2019-12-21,490,SCU,VS,G,14,15,1,IND,HC,P,4,8,1,Latinoamericano,10:00,2:50,7
59SN SF,2019-12-22,494,LTU,VS,G,8,10,1,MTZ,HC,P,6,9,0,Victoria de Girón MTZ,13:00,3:15,9
59SN SF,2019-12-23,495,SCU,HC,G,8,10,1,CMG,VS,P,3,17,1,Guillermón Moncada,13:00,2:55,9
59SN SF,2019-12-23,497,MTZ,HC,G,9,14,2,LTU,VS,P,5,11,1,Victoria de Girón MTZ,13:00,3:16,9
59SN SF,2019-12-24,496,IND,HC,G,4,6,1,CFG,VS,P,3,11,3,Latinoamericano,10:00,2:20,7
59SN SF,2019-12-24,500,MTZ,HC,G,10,12,2,LTU,VS,P,6,13,3,Victoria de Girón MTZ,10:00,3:15,9
59SN SF,2019-12-24,493,IND,HC,G,6,8,0,CFG,VS,P,5,6,1,Latinoamericano,13:00,2:30,7
59SN SF,2019-12-25,499,IND,HC,G,10,16,0,CFG,VS,P,1,9,0,Latinoamericano,10:00,3:27,9
59SN SF,2019-12-25,501,CMG,VS,G,1,6,1,SCU,HC,P,0,7,0,Guillermón Moncada,10:00,3:00,8
59SN SF,2019-12-25,498,CMG,VS,G,4,10,0,SCU,HC,P,1,6,2,Guillermón Moncada,13:00,2:55,7
59SN PO,2020-01-03,502,CMG,VS,G,9,15,0,IND,HC,P,8,15,1,Latinoamericano,20:30,3:28,9
59SN PO,2020-01-04,503,LTU,HC,G,5,9,2,MTZ,VS,P,4,10,0,Julio Antonio Mella,13:00,3:30,9
59SN PO,2020-01-05,505,MTZ,VS,G,4,10,0,LTU,HC,P,2,5,2,Julio Antonio Mella,13:00,3:50,9
59SN PO,2020-01-05,504,CMG,VS,G,7,7,2,IND,HC,P,5,10,1,Latinoamericano,17:00,3:57,9
59SN PO,2020-01-07,508,MTZ,HC,G,5,9,1,LTU,VS,P,3,8,0,Victoria de Girón MTZ,13:00,3:35,9
59SN PO,2020-01-07,506,CMG,HC,G,3,8,1,IND,VS,P,2,8,1,Cándido González,20:30,3:21,9
59SN PO,2020-01-08,509,MTZ,HC,G,11,14,0,LTU,VS,P,6,11,3,Victoria de Girón MTZ,13:00,3:50,9
59SN PO,2020-01-11,510,MTZ,VS,G,5,11,1,CMG,HC,P,3,13,1,Cándido González,13:00,3:46,9
59SN PO,2020-01-12,511,CMG,HC,G,8,12,0,MTZ,VS,P,0,3,2,Cándido González,13:00,3:06,9
59SN PO,2020-01-14,512,MTZ,HC,G,6,5,1,CMG,VS,P,1,6,4,Victoria de Girón MTZ,13:00,3:40,9
59SN PO,2020-01-15,513,MTZ,HC,G,5,10,5,CMG,VS,P,3,7,2,Victoria de Girón MTZ,13:00,3:17,9
59SN PO,2020-01-16,514,CMG,VS,G,9,13,2,MTZ,HC,P,6,11,1,Victoria de Girón MTZ,13:00,4:08,9
59SN PO,2020-01-18,515,MTZ,VS,G,11,12,0,CMG,HC,P,2,6,1,Cándido González,13:00,3:39,9
